,WELL_NAME,Simulated
734,OBS3,-0.2955969434
735,OBS3,-0.2955969368
736,OBS3,-0.2955969303
737,OBS3,-0.2955969239
738,OBS3,-0.2955969175
739,OBS3,-0.2955969112
740,OBS3,-0.2955969049
741,OBS3,-0.2955968988
742,OBS3,-0.2955968927
743,OBS3,-0.2955968866
744,OBS3,-0.2955968807
745,OBS3,-0.2955968748
746,OBS3,-0.295596869
747,OBS3,-0.2955968633
748,OBS3,-0.2955968576
749,OBS3,-0.2955968521
750,OBS3,-0.2955968466
751,OBS3,-0.2955968411
752,OBS3,-0.2955968357
753,OBS3,-0.2955968304
754,OBS3,-0.2955968252
755,OBS3,-0.29559682
756,OBS3,-0.2955968149
757,OBS3,-0.2955968099
758,OBS3,-0.2955968049
759,OBS3,-0.2955968
760,OBS3,-0.2955967951
761,OBS3,-0.2955967904
762,OBS3,-0.2955967856
763,OBS3,-0.295596781
764,OBS3,-0.2955967764
765,OBS3,-0.2955967718
766,OBS3,-0.2955967673
767,OBS3,-0.2955967629
768,OBS3,-0.2955967586
769,OBS3,-0.2955967543
770,OBS3,-0.29559675
771,OBS3,-0.2955967458
772,OBS3,-0.2955967417
773,OBS3,-0.2955967376
774,OBS3,-0.2955967335
775,OBS3,-0.2955967296
776,OBS3,-0.2955967256
777,OBS3,-0.2955967218
778,OBS3,-0.2955967179
779,OBS3,-0.2955967142
780,OBS3,-0.2955967104
781,OBS3,-0.2955967068
782,OBS3,-0.2955967031
783,OBS3,-0.2955966996
784,OBS3,-0.295596696
785,OBS3,-0.2955966925
786,OBS3,-0.2955966891
787,OBS3,-0.2955966857
788,OBS3,-0.2955966824
789,OBS3,-0.2955966791
790,OBS3,-0.2955966758
791,OBS3,-0.2955966726
792,OBS3,-0.2955966694
793,OBS3,-0.2955966663
794,OBS3,-0.2955966632
795,OBS3,-0.2955966602
796,OBS3,-0.2955966572
797,OBS3,-0.2955966542
798,OBS3,-0.2955966513
799,OBS3,-0.2955966484
800,OBS3,-0.2955966456
801,OBS3,-0.2955966428
802,OBS3,-0.29559664
803,OBS3,-0.2955966373
804,OBS3,-0.2955966346
805,OBS3,-0.295596632
806,OBS3,-0.2955966294
807,OBS3,-0.2955966268
808,OBS3,-0.2955966243
809,OBS3,-0.2955966218
810,OBS3,-0.2955966194
811,OBS3,-0.295596617
812,OBS3,-0.2955966146
813,OBS3,-0.2955966122
814,OBS3,-0.2955966099
815,OBS3,-0.2955966077
816,OBS3,-0.2955966054
817,OBS3,-0.2955966032
818,OBS3,-0.295596601
819,OBS3,-0.2955965989
820,OBS3,-0.2955965968
821,OBS3,-0.2955965947
822,OBS3,-0.2955965927
823,OBS3,-0.2955965907
824,OBS3,-0.2955965887
825,OBS3,-0.2955965868
826,OBS3,-0.2955965849
827,OBS3,-0.295596583
828,OBS3,-0.2955965812
829,OBS3,-0.2955965794
830,OBS3,-0.2955965776
831,OBS3,-0.2955965758
832,OBS3,-0.2955965741
833,OBS3,-0.2955965724
834,OBS3,-0.2955965708
835,OBS3,-0.2955965691
836,OBS3,-0.2955965675
837,OBS3,-0.295596566
838,OBS3,-0.2955965644
839,OBS3,-0.2955965629
840,OBS3,-0.2955965614
841,OBS3,-0.29559656
842,OBS3,-0.2955965585
843,OBS3,-0.2955965571
844,OBS3,-0.2955965558
845,OBS3,-0.2955965544
846,OBS3,-0.2955965531
847,OBS3,-0.2955965518
848,OBS3,-0.2955965505
849,OBS3,-0.2955965493
850,OBS3,-0.2955965481
851,OBS3,-0.2955965469
852,OBS3,-0.2955965457
853,OBS3,-0.2955965446
854,OBS3,-0.2955965435
855,OBS3,-0.2955965424
856,OBS3,-0.2955965413
857,OBS3,-0.2955965403
858,OBS3,-0.2955965393
859,OBS3,-0.2955965383
860,OBS3,-0.2955965373
861,OBS3,-0.2955965364
862,OBS3,-0.2955965354
863,OBS3,-0.2955965345
864,OBS3,-0.2955965337
865,OBS3,-0.2955965328
866,OBS3,-0.295596532
867,OBS3,-0.2955965312
868,OBS3,-0.2955965304
869,OBS3,-0.2955965296
870,OBS3,-0.2955965289
871,OBS3,-0.2955965282
872,OBS3,-0.2955965275
873,OBS3,-0.2955965268
874,OBS3,-0.2955965261
875,OBS3,-0.2955965255
876,OBS3,-0.2955965248
877,OBS3,-0.2955965242
878,OBS3,-0.2955965237
879,OBS3,-0.2955965231
880,OBS3,-0.2955965226
881,OBS3,-0.295596522
882,OBS3,-0.2955965215
883,OBS3,-0.295596521
884,OBS3,-0.2955965206
885,OBS3,-0.2955965201
886,OBS3,-0.2955965197
887,OBS3,-0.2955965193
888,OBS3,-0.2955965189
889,OBS3,-0.2955965185
890,OBS3,-0.2955965181
891,OBS3,-0.2955965178
892,OBS3,-0.2955965174
893,OBS3,-0.2955965171
894,OBS3,-0.2955965168
895,OBS3,-0.2955965165
896,OBS3,-0.2955965163
897,OBS3,-0.295596516
898,OBS3,-0.2955965158
899,OBS3,-0.2955965156
900,OBS3,-0.2955965154
901,OBS3,-0.2955965152
902,OBS3,-0.295596515
903,OBS3,-0.2955965148
904,OBS3,-0.2955965147
905,OBS3,-0.2955965146
906,OBS3,-0.2955965144
907,OBS3,-0.2955965143
908,OBS3,-0.2955965142
909,OBS3,-0.2955965142
910,OBS3,-0.2955965141
911,OBS3,-0.295596514
912,OBS3,-0.295596514
913,OBS3,-0.295596514
914,OBS3,-0.295596514
915,OBS3,-0.295596514
916,OBS3,-0.295596514
917,OBS3,-0.295596514
918,OBS3,-0.295596514
919,OBS3,-0.2955965141
920,OBS3,-0.2955965141
921,OBS3,-0.2955965142
922,OBS3,-0.2955965143
923,OBS3,-0.2955965144
924,OBS3,-0.2955965145
925,OBS3,-0.2955965146
926,OBS3,-0.2955965147
927,OBS3,-0.2955965148
928,OBS3,-0.295596515
929,OBS3,-0.2955965151
930,OBS3,-0.2955965153
931,OBS3,-0.2955965155
932,OBS3,-0.2955965157
933,OBS3,-0.2955965159
934,OBS3,-0.2955965161
935,OBS3,-0.2955965163
936,OBS3,-0.2955965165
937,OBS3,-0.2955965167
938,OBS3,-0.2955965169
939,OBS3,-0.2955965172
940,OBS3,-0.2955965175
941,OBS3,-0.2955965177
942,OBS3,-0.295596518
943,OBS3,-0.2955965183
944,OBS3,-0.2955965186
945,OBS3,-0.2955965188
946,OBS3,-0.2955965191
947,OBS3,-0.2955965195
948,OBS3,-0.2955965198
949,OBS3,-0.2955965201
950,OBS3,-0.2955965204
951,OBS3,-0.2955965208
952,OBS3,-0.2955965211
953,OBS3,-0.2955965215
954,OBS3,-0.2955965218
955,OBS3,-0.2955965222
956,OBS3,-0.2955965226
957,OBS3,-0.295596523
958,OBS3,-0.2955965233
959,OBS3,-0.2955965237
